시도별,성별,연령별,시점,추계인구,전국_총인구,노년층_인구,노년층_비율
전국,계,계,1970 년,32240827.0,32240827.0,991308.0,3.1
전국,계,계,1971 년,32882704.0,32882704.0,1054523.0,3.2
전국,계,계,1972 년,33505406.0,33505406.0,1044658.0,3.1
전국,계,계,1973 년,34103149.0,34103149.0,1077254.0,3.2
전국,계,계,1974 년,34692266.0,34692266.0,1120510.0,3.2
전국,계,계,1975 년,35280725.0,35280725.0,1217447.0,3.5
전국,계,계,1976 년,35848523.0,35848523.0,1262113.0,3.5
전국,계,계,1977 년,36411795.0,36411795.0,1309358.0,3.6
전국,계,계,1978 년,36969185.0,36969185.0,1357162.0,3.7
전국,계,계,1979 년,37534236.0,37534236.0,1404942.0,3.7
전국,계,계,1980 년,38123775.0,38123775.0,1456033.0,3.8
전국,계,계,1981 년,38723248.0,38723248.0,1498179.0,3.9
전국,계,계,1982 년,39326352.0,39326352.0,1559415.0,4.0
전국,계,계,1983 년,39910403.0,39910403.0,1614534.0,4.0
전국,계,계,1984 년,40405956.0,40405956.0,1673615.0,4.1
전국,계,계,1985 년,40805744.0,40805744.0,1741849.0,4.3
전국,계,계,1986 년,41213674.0,41213674.0,1800736.0,4.4
전국,계,계,1987 년,41621690.0,41621690.0,1876428.0,4.5
전국,계,계,1988 년,42031247.0,42031247.0,1961860.0,4.7
전국,계,계,1989 년,42449038.0,42449038.0,2052985.0,4.8
전국,계,계,1990 년,42869283.0,42869283.0,2195084.0,5.1
전국,계,계,1991 년,43295704.0,43295704.0,2266441.0,5.2
전국,계,계,1992 년,43747962.0,43747962.0,2345856.0,5.4
전국,계,계,1993 년,44194628.0,44194628.0,2436993.0,5.5
전국,계,계,1994 년,44641540.0,44641540.0,2542492.0,5.7
전국,계,계,1995 년,45092991.0,45092991.0,2656652.0,5.9
전국,계,계,1996 년,45524681.0,45524681.0,2794882.0,6.1
전국,계,계,1997 년,45953580.0,45953580.0,2929311.0,6.4
전국,계,계,1998 년,46286503.0,46286503.0,3069053.0,6.6
전국,계,계,1999 년,46616677.0,46616677.0,3223576.0,6.9
전국,계,계,2000 년,47008111.0,47008111.0,3394896.0,7.2
전국,계,계,2001 년,47370164.0,47370164.0,3570925.0,7.5
전국,계,계,2002 년,47644736.0,47644736.0,3756945.0,7.9
전국,계,계,2003 년,47892330.0,47892330.0,3939864.0,8.2
전국,계,계,2004 년,48082519.0,48082519.0,4130303.0,8.6
전국,계,계,2005 년,48184561.0,48184561.0,4320787.0,9.0
전국,계,계,2006 년,48438292.0,48438292.0,4525814.0,9.3
전국,계,계,2007 년,48683638.0,48683638.0,4760676.0,9.8
전국,계,계,2008 년,49054708.0,49054708.0,4988592.0,10.2
전국,계,계,2009 년,49307835.0,49307835.0,5176886.0,10.5
전국,계,계,2010 년,49554112.0,49554112.0,5366109.0,10.8
전국,계,계,2011 년,49936638.0,49936638.0,5515179.0,11.0
전국,계,계,2012 년,50199853.0,50199853.0,5766729.0,11.5
전국,계,계,2013 년,50428893.0,50428893.0,6022659.0,11.9
전국,계,계,2014 년,50746659.0,50746659.0,6277126.0,12.4
전국,계,계,2015 년,51014947.0,51014947.0,6541168.0,12.8
전국,계,계,2016 년,51217803.0,51217803.0,6757083.0,13.2
전국,계,계,2017 년,51361911.0,51361911.0,7066060.0,13.8
전국,계,계,2018 년,51585058.0,51585058.0,7366085.0,14.3
전국,계,계,2019 년,51764822.0,51764822.0,7688994.0,14.9
전국,계,계,2020 년,51836239.0,51836239.0,8151867.0,15.7
전국,계,계,2021 년,51769539.0,51769539.0,8569865.0,16.6
전국,계,계,2022 년,51672569.0,51672569.0,8981133.0,17.4
전국,계,계,2023 년,51712619.0,51712619.0,9435816.0,18.2
전국,계,계,2024 년,51751065.0,51751065.0,9938235.0,19.2
